state,obs,raw_obs,action,episode,agent_idx
"Players: ((7, 2) facing (0, -1) holding None, (1, 2) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 0",[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],"[ 1.  0.  0.  0.  0.  0.  0.  0.  2. -2.  0.  0.  8.  2.  0.  0.  0.  0.
  5.  4.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0. -2.  1.  1.  0.  0.
  0.  0.  0.  0.  7. -2.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.
 -4.  4.  0.  0.  2.  2.  0.  0.  0.  0. -1.  4.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0.  1. -2.  1.  1.  0.  0.  0.  0.  0.  0. -6. -2.  0.  0.
  0.  0.  6.  0.  1.  2.]",2,0,1
"Players: ((7, 2) facing (0, -1) holding None, (2, 2) facing (1, 0) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 1",[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],"[ 0.  0.  1.  0.  0.  0.  0.  0.  1. -2.  0.  0.  7.  2.  0.  0.  0.  0.
  4.  4.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0. -1. -2.  1.  1.  0.  0.
  0.  0.  0.  0.  6. -2.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
 -4.  4.  0.  0.  2.  2.  0.  0.  0.  0. -1.  4.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0.  1. -2.  1.  1.  0.  0.  0.  0.  0.  0. -6. -2.  0.  0.
  0.  0.  5.  0.  2.  2.]",1,0,0
"Players: ((7, 3) facing (0, 1) holding None, (2, 2) facing (1, 0) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 2",[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],"[ 0.  1.  0.  0.  0.  0.  0.  0. -4.  3.  0.  0.  2.  1.  0.  0.  0.  0.
 -1.  3.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  1. -3.  1.  1.  0.  0.
  0.  0.  0.  0. -6. -3.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  1. -2.  0.  0.  7.  2.  0.  0.  0.  0.  4.  4.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0. -1. -2.  1.  1.  0.  0.  0.  0.  0.  0.  6. -2.  0.  0.
  0.  0. -5. -1.  7.  3.]",2,0,1
"Players: ((7, 3) facing (0, 1) holding None, (3, 2) facing (1, 0) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 3",[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],"[ 0.  0.  1.  0.  0.  0.  0.  0.  0. -2.  0.  0.  6.  2.  0.  0.  0.  0.
  3.  4.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0. -2. -2.  1.  1.  0.  0.
  0.  0.  0.  0.  5. -2.  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.
 -4.  3.  0.  0.  2.  1.  0.  0.  0.  0. -1.  3.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0.  1. -3.  1.  1.  0.  0.  0.  0.  0.  0. -6. -3.  0.  0.
  0.  0.  4.  1.  3.  2.]",1,0,0
"Players: ((7, 4) facing (0, 1) holding None, (3, 2) facing (1, 0) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 4",[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],"[ 0.  1.  0.  0.  0.  0.  0.  0. -4.  2.  0.  0.  2.  0.  0.  0.  0.  0.
 -1.  2.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  1. -4.  1.  1.  0.  0.
  0.  0.  0.  0. -6. -4.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0. -2.  0.  0.  6.  2.  0.  0.  0.  0.  3.  4.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0. -2. -2.  1.  1.  0.  0.  0.  0.  0.  0.  5. -2.  0.  0.
  1.  0. -4. -2.  7.  4.]",0,0,1
"Players: ((7, 4) facing (0, 1) holding None, (3, 1) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 5",[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],"[ 1.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  6.  3.  0.  0.  0.  0.
  3.  5.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0. -2. -1.  1.  1.  0.  0.
  0.  0.  0.  0.  5. -1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.
 -4.  2.  0.  0.  2.  0.  0.  0.  0.  0. -1.  2.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0.  1. -4.  1.  1.  0.  0.  0.  0.  0.  0. -6. -4.  0.  0.
  0.  0.  4.  3.  3.  1.]",3,0,0
"Players: ((6, 4) facing (-1, 0) holding None, (3, 1) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 6",[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],"[ 0.  0.  0.  1.  0.  0.  0.  0. -3.  2.  0.  0.  3.  0.  0.  0.  0.  0.
  0.  2.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  2. -4.  1.  1.  0.  0.
  0.  0.  0.  0. -5. -4.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0. -1.  0.  0.  6.  3.  0.  0.  0.  0.  3.  5.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0. -2. -1.  1.  1.  0.  0.  0.  0.  0.  0.  5. -1.  1.  0.
  1.  0. -3. -3.  6.  4.]",5,0,1
"Players: ((6, 4) facing (-1, 0) holding None, (3, 1) facing (0, -1) holding onion@(3, 1)), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 7",[0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.],"[ 1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  6.  3.  0.  0.  0.  0.
  3.  5.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0. -2. -1.  1.  1.  0.  0.
  0.  0.  0.  0.  5. -1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.
 -3.  2.  0.  0.  3.  0.  0.  0.  0.  0.  0.  2.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0.  2. -4.  1.  1.  0.  0.  0.  0.  0.  0. -5. -4.  0.  0.
  0.  0.  3.  3.  3.  1.]",3,0,0
"Players: ((5, 4) facing (-1, 0) holding None, (3, 1) facing (0, -1) holding onion@(3, 1)), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 8",[1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],"[ 0.  0.  0.  1.  0.  0.  0.  0. -2.  2.  0.  0.  4.  0.  0.  0.  0.  0.
  1.  2.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  3. -4.  1.  1.  0.  0.
  0.  0.  0.  0. -4. -4.  0.  0.  0.  0.  1.  0.  0.  0.  1.  0.  0.  0.
  0.  0.  0.  0.  6.  3.  0.  0.  0.  0.  3.  5.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0. -2. -1.  1.  1.  0.  0.  0.  0.  0.  0.  5. -1.  1.  0.
  1.  0. -2. -3.  5.  4.]",3,0,1
"Players: ((5, 4) facing (-1, 0) holding None, (2, 1) facing (-1, 0) holding onion@(2, 1)), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 9",[0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.],"[ 0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  7.  3.  0.  0.  0.  0.
  4.  5.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0. -1. -1.  1.  1.  0.  0.
  0.  0.  0.  0.  6. -1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
 -2.  2.  0.  0.  4.  0.  0.  0.  0.  0.  1.  2.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0.  3. -4.  1.  1.  0.  0.  0.  0.  0.  0. -4. -4.  0.  0.
  0.  0.  3.  3.  2.  1.]",3,0,0
