state,obs,raw_obs,action,episode,agent_idx
"Players: ((7, 2) facing (0, -1) holding None, (1, 2) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"[ 1.  0.  0.  0.  0.  0.  0.  0.  2. -2.  6. -2. -1.  2.  0.  0.  0.  0.
  3.  3.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  1. -2.  1.  1.  0.  0.
  0.  0.  0.  0.  5. -2.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.
 -4. -2.  0. -2.  2.  2.  0.  0.  0.  0. -3.  3.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0. -1. -2.  1.  1.  0.  0.  0.  0.  0.  0. -5. -2.  0.  1.
  0.  0.  6.  0.  1.  2.]",2,0,1
"Players: ((7, 2) facing (0, -1) holding None, (2, 2) facing (1, 0) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 1",[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"[ 0.  0.  1.  0.  0.  0.  0.  0.  1. -2.  5. -2. -2.  2.  0.  0.  0.  0.
  2.  3.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0. -2.  1.  1.  0.  0.
  0.  0.  0.  0.  4. -2.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
 -4. -2.  0. -2.  2.  2.  0.  0.  0.  0. -3.  3.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0. -1. -2.  1.  1.  0.  0.  0.  0.  0.  0. -5. -2.  0.  1.
  0.  0.  5.  0.  2.  2.]",0,0,0
"Players: ((7, 1) facing (0, -1) holding None, (2, 2) facing (1, 0) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 2",[0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"[ 1.  0.  0.  0.  0.  0.  0.  0. -4. -1.  0. -1.  2.  3.  0.  0.  0.  0.
 -3.  4.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0. -1. -1.  1.  1.  0.  0.
  0.  0.  0.  0. -5. -1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  1. -2.  5. -2. -2.  2.  0.  0.  0.  0.  2.  3.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0.  0. -2.  1.  1.  0.  0.  0.  0.  0.  0.  4. -2.  0.  1.
  0.  0. -5.  1.  7.  1.]",2,0,1
"Players: ((7, 1) facing (0, -1) holding None, (3, 2) facing (1, 0) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 3",[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"[ 0.  0.  1.  0.  0.  0.  0.  0.  0. -2.  4. -2. -3.  2.  0.  0.  0.  0.
  1.  3.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0. -1. -2.  1.  1.  0.  0.
  0.  0.  0.  0.  3. -2.  0.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
 -4. -1.  0. -1.  2.  3.  0.  0.  0.  0. -3.  4.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0. -1. -1.  1.  1.  0.  0.  0.  0.  0.  0. -5. -1.  1.  0.
  0.  0.  4. -1.  3.  2.]",5,0,0
"Players: ((7, 1) facing (0, -1) holding tomato@(7, 1), (3, 2) facing (1, 0) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 4",[0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.],"[ 1.  0.  0.  0.  0.  0.  0.  1. -4. -1.  0.  0.  2.  3.  0.  0.  0.  0.
 -3.  4.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0. -1. -1.  1.  1.  0.  0.
  0.  0.  0.  0. -5. -1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  0. -2.  4. -2. -3.  2.  0.  0.  0.  0.  1.  3.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0. -1. -2.  1.  1.  0.  0.  0.  0.  0.  0.  3. -2.  0.  1.
  1.  0. -4.  1.  7.  1.]",0,0,1
"Players: ((7, 1) facing (0, -1) holding tomato@(7, 1), (3, 1) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 5",[1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"[ 1.  0.  0.  0.  0.  0.  0.  0.  0. -1.  4. -1. -3.  3.  0.  0.  0.  0.
  1.  4.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0. -1. -1.  1.  1.  0.  0.
  0.  0.  0.  0.  3. -1.  1.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  1.
 -4. -1.  0.  0.  2.  3.  0.  0.  0.  0. -3.  4.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0. -1. -1.  1.  1.  0.  0.  0.  0.  0.  0. -5. -1.  1.  0.
  0.  0.  4.  0.  3.  1.]",1,0,0
"Players: ((7, 2) facing (0, 1) holding tomato@(7, 2), (3, 1) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 6",[1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.],"[ 0.  1.  0.  0.  0.  0.  0.  1. -4. -2.  0.  0.  2.  2.  0.  0.  0.  0.
 -3.  3.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0. -1. -2.  1.  1.  0.  0.
  0.  0.  0.  0. -5. -2.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0. -1.  4. -1. -3.  3.  0.  0.  0.  0.  1.  4.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0. -1. -1.  1.  1.  0.  0.  0.  0.  0.  0.  3. -1.  1.  0.
  1.  0. -4. -1.  7.  2.]",5,0,1
"Players: ((7, 2) facing (0, 1) holding tomato@(7, 2), (3, 1) facing (0, -1) holding onion@(3, 1)), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 7",[0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"[ 1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  4. -1. -3.  3.  0.  0.  0.  0.
  1.  4.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0. -1. -1.  1.  1.  0.  0.
  0.  0.  0.  0.  3. -1.  1.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  1.
 -4. -2.  0.  0.  2.  2.  0.  0.  0.  0. -3.  3.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0. -1. -2.  1.  1.  0.  0.  0.  0.  0.  0. -5. -2.  0.  1.
  0.  0.  4.  1.  3.  1.]",3,0,0
"Players: ((6, 2) facing (-1, 0) holding tomato@(6, 2), (3, 1) facing (0, -1) holding onion@(3, 1)), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 8",[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.],"[ 0.  0.  0.  1.  0.  0.  0.  1. -3. -2.  0.  0.  3.  2.  0.  0.  0.  0.
 -2.  3.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0. -2.  1.  1.  0.  0.
  0.  0.  0.  0. -4. -2.  0.  1.  0.  0.  1.  0.  0.  0.  1.  0.  0.  0.
  0.  0.  4. -1. -3.  3.  0.  0.  0.  0.  1.  4.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0. -1. -1.  1.  1.  0.  0.  0.  0.  0.  0.  3. -1.  1.  0.
  1.  0. -3. -1.  6.  2.]",2,0,1
"Players: ((6, 2) facing (-1, 0) holding tomato@(6, 2), (3, 1) facing (1, 0) holding onion@(3, 1)), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 9",[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"[ 0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  4. -1. -3.  3.  0.  0.  0.  0.
  1.  4.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0. -1. -1.  1.  1.  0.  0.
  0.  0.  0.  0.  3. -1.  1.  0.  1.  0.  0.  0.  0.  1.  0.  0.  0.  1.
 -3. -2.  0.  0.  3.  2.  0.  0.  0.  0. -2.  3.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0.  0. -2.  1.  1.  0.  0.  0.  0.  0.  0. -4. -2.  0.  1.
  0.  0.  3.  1.  3.  1.]",3,0,0
