state,obs,raw_obs,action,episode,agent_idx
"Players: ((3, 1) facing (0, -1) holding None, (1, 2) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 0","[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 3. 1. 1. 2. 1. 0. 0. 0.
 0. 0. 0. 0.]","[ 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  3.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0. -1.  1.  1.  0.  0.
  0.  0.  0.  0.  1.  0.  1.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  1. -2.  1.  3.  1.]",3,0,0
"Players: ((3, 1) facing (-1, 0) holding None, (1, 2) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 1","[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 2. 3. 1. 0. 0. 0. 1.
 0. 0. 0. 0.]","[ 0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  3.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0. -1.  1.  1.  0.  0.
  0.  0.  0.  0.  1.  0.  1.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  1.  1. -2.  1.  3.  1.]",0,0,1
"Players: ((3, 1) facing (-1, 0) holding None, (1, 1) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 2","[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 3. 1. 1. 1. 1. 0. 0. 0.
 0. 0. 0. 0.]","[ 1.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0. -1.  2.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  1.  0.  1.  1.  0.  0.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0.  0. -1.  1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.
  1.  1.  2.  0.  1.  1.]",4,0,0
"Players: ((3, 1) facing (-1, 0) holding None, (1, 1) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 3","[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 3. 1. 0. 0. 0. 1.
 0. 0. 0. 0.]","[ 0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  3.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0. -1.  1.  1.  0.  0.
  0.  0.  0.  0.  1.  0.  1.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.
 -1.  0.  0.  0. -1.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  1.  1. -2.  0.  3.  1.]",3,0,1
"Players: ((3, 1) facing (-1, 0) holding None, (1, 1) facing (-1, 0) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 4","[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 3. 1. 1. 1. 0. 0. 0. 1.
 0. 0. 0. 0.]","[ 0.  0.  0.  1.  0.  0.  0.  0. -1.  0.  0.  0. -1.  2.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  1.  0.  1.  1.  0.  0.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0.  0. -1.  1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.
  1.  1.  2.  0.  1.  1.]",4,0,0
"Players: ((3, 1) facing (-1, 0) holding None, (1, 1) facing (-1, 0) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 5","[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 3. 1. 0. 0. 0. 1.
 0. 0. 0. 0.]","[ 0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  3.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0. -1.  1.  1.  0.  0.
  0.  0.  0.  0.  1.  0.  1.  0.  1.  1.  0.  0.  0.  1.  0.  0.  0.  0.
 -1.  0.  0.  0. -1.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  1.  1. -2.  0.  3.  1.]",5,0,1
"Players: ((3, 1) facing (-1, 0) holding None, (1, 1) facing (-1, 0) holding onion@(1, 1)), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 6","[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 3. 1. 1. 1. 0. 0. 0. 1.
 1. 0. 0. 0.]","[ 0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0. -1.  2.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  1.  0.  1.  1.  0.  0.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0.  0. -1.  1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.
  1.  1.  2.  0.  1.  1.]",4,0,0
"Players: ((3, 1) facing (-1, 0) holding None, (1, 1) facing (-1, 0) holding onion@(1, 1)), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 7","[0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 3. 1. 0. 0. 0. 1.
 0. 0. 0. 0.]","[ 0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  3.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0. -1.  1.  1.  0.  0.
  0.  0.  0.  0.  1.  0.  1.  0.  1.  1.  0.  0.  0.  1.  1.  0.  0.  0.
  0.  0.  0.  0. -1.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  1.  1. -2.  0.  3.  1.]",2,0,1
"Players: ((3, 1) facing (-1, 0) holding None, (1, 1) facing (1, 0) holding onion@(1, 1)), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 8","[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 3. 1. 1. 1. 0. 0. 1. 0.
 1. 0. 0. 0.]","[ 0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0. -1.  2.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  1.  0.  1.  1.  0.  0.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.  0.  1.  1.  0.  0.
  0.  0.  0.  0.  0. -1.  1.  1.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.
  1.  1.  2.  0.  1.  1.]",4,0,0
"Players: ((3, 1) facing (-1, 0) holding None, (1, 1) facing (1, 0) holding onion@(1, 1)), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion')] Timestep: 9","[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 3. 1. 0. 0. 0. 1.
 0. 0. 0. 0.]","[ 0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  3.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0. -1.  1.  1.  0.  0.
  0.  0.  0.  0.  1.  0.  1.  0.  1.  1.  0.  0.  1.  0.  1.  0.  0.  0.
  0.  0.  0.  0. -1.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  1.  1. -2.  0.  3.  1.]",5,0,1
